Pot,Treatment,Ammendment,Rep,Compost,Vermiculite,Inoculum,Em.num,Start,P.Date,E.Date,cut_plants,P.Days,E.Days,Notes,Em.Count
RCN3,RCN,RC,3,Compost,None,None,3,2/7/2022,,,,NA,NA,,
RCN4,RCN,RC,4,Compost,None,None,3,2/7/2022,,,,NA,NA,,
RCN5,RCN,RC,5,Compost,None,None,3,2/7/2022,,,,NA,NA,,
RCA1,RCA,RC,1,Compost,None,Algae,3,2/7/2022,,,,NA,NA,,
RCA2,RCA,RC,2,Compost,None,Algae,3,2/7/2022,,,,NA,NA,,
RCA3,RCA,RC,3,Compost,None,Algae,3,2/7/2022,,,,NA,NA,,
RCA4,RCA,RC,4,Compost,None,Algae,3,2/7/2022,,,,NA,NA,,
RCA5,RCA,RC,5,Compost,None,Algae,3,2/7/2022,,,,NA,NA,,
RCB1,RCB,RC,1,Compost,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RCB2,RCB,RC,2,Compost,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RCB3,RCB,RC,3,Compost,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RCB4,RCB,RC,4,Compost,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RCB5,RCB,RC,5,Compost,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RSN1,RSN,RS,1,Sterile,None,None,3,2/7/2022,,,,NA,NA,,
RSN2,RSN,RS,2,Sterile,None,None,3,2/7/2022,,,,NA,NA,,
RSN3,RSN,RS,3,Sterile,None,None,3,2/7/2022,,,,NA,NA,,
RSN4,RSN,RS,4,Sterile,None,None,3,2/7/2022,,,,NA,NA,,
RSN5,RSN,RS,5,Sterile,None,None,3,2/7/2022,,,,NA,NA,,
RSA1,RSA,RS,1,Sterile,None,Algae,3,2/7/2022,,,,NA,NA,,
RSA2,RSA,RS,2,Sterile,None,Algae,3,2/7/2022,,,,NA,NA,,
RSA3,RSA,RS,3,Sterile,None,Algae,3,2/7/2022,,,,NA,NA,,
RSA4,RSA,RS,4,Sterile,None,Algae,3,2/7/2022,,,,NA,NA,,
RSA5,RSA,RS,5,Sterile,None,Algae,3,2/7/2022,,,,NA,NA,,
RSB1,RSB,RS,1,Sterile,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RSB2,RSB,RS,2,Sterile,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RSB3,RSB,RS,3,Sterile,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RSB4,RSB,RS,4,Sterile,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RSB5,RSB,RS,5,Sterile,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RVCN1,RVCN,RVC,1,Compost,Vermiculite,None,3,2/7/2022,,2/24/2022,,NA,17,,1
RVCN2,RVCN,RVC,2,Compost,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVCN3,RVCN,RVC,3,Compost,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVCN4,RVCN,RVC,4,Compost,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVCN5,RVCN,RVC,5,Compost,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVCA1,RVCA,RVC,1,Compost,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVCA2,RVCA,RVC,2,Compost,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVCA3,RVCA,RVC,3,Compost,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVCA4,RVCA,RVC,4,Compost,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVCA5,RVCA,RVC,5,Compost,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVCB1,RVCB,RVC,1,Compost,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
RVCB2,RVCB,RVC,2,Compost,Vermiculite,Biocrust,3,2/7/2022,,,x,NA,NA,,1
RVCB3,RVCB,RVC,3,Compost,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
RVCB4,RVCB,RVC,4,Compost,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
RVCB5,RVCB,RVC,5,Compost,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
CTRL1,Ctrl,Ctrl,1,None,None,None,3,2/7/2022,,2/13/2022,x,NA,6,,1
CTRL2,Ctrl,Ctrl,2,None,None,None,3,2/7/2022,,,,NA,NA,,
CTRL3,Ctrl,Ctrl,3,None,None,None,3,2/7/2022,,,,NA,NA,,
CTRL4,Ctrl,Ctrl,4,None,None,None,3,2/7/2022,,,,NA,NA,,
CTRL5,Ctrl,Ctrl,5,None,None,None,3,2/7/2022,,,,NA,NA,,
